"puzzle","solution"
"910700000065800000078004695020401007081000209006000400003670908000108030040509176","914756823265893714378214695529481367481367259736925481153672948697148532842539176"
"501009370000600820600000400000740290100000054200098160020006907010000002900203581","581429376439617825672835419356741298198362754247598163823156947715984632964273581"
"000800006004000381835400020001098700020050019600021004000042008080060075000000640","217839456964275381835416927541398762723654819698721534376542198489163275152987643"
"093760002427003659060905030000037208080010940236000070300002004804301500052478000","593764812427183659168925437941537268785216943236849175319652784874391526652478391"
"009000000003002070500439610030600105806597240000210800700020006390046700028301950","169758432483162579572439618237684195816597243954213867741925386395846721628371954"
"130490752070023960020000034003009480081700025000200090300180240067342519402960070","138496752574823961629571834253619487981734625746258193395187246867342519412965378"
"475860003928000500060009027600058374807020600104006000206310750010007400040000030","475862913928731546361549827692158374857423691134976285286314759513297468749685132"
"300000001047001038015843070000500700800600000096000800700406290102007300000300017","328795461947261538615843972231589746874632159596174823783416295162957384459328617"
"000004500700060300509003708001800035900031072037502000008019000003600089200300010","312784596784965321569123748421876935956431872837592164678219453143657289295348617"
"000100059602040080158009030000600010001300904800004560285007046900000370070000008","743182659692543781158769432427695813561378924839214567285937146914826375376451298"
"038040051065187004410302700140060000070008403003004600000020106500800347697000002","738649251265187934419352768142963875976518423853274619384725196521896347697431582"
"196027038000103060080069200270005090901040000000306072650000700400600320000900605","196427538725183964384569217273815496961742853548396172659234781417658329832971645"
"480031795510907430090052008340800900025000000168000007200714000600090003000005000","482631795516987432793452618347826951925173864168549327239714586654298173871365249"
"004002005210009080690057402907315064030006520560000007109024378742983006080001200","874132695215469783693857412927315864438796521561248937159624378742983156386571249"
"000309720043027918070800403196000287350792041420100509600915070900003156715260090","861349725543627918279851463196534287358792641427186539634915872982473156715268394"
"406200007800405020002000091049002063000914752215000809000509008020038000350607004","436291587891475326572386491749852163683914752215763849167549238924138675358627914"
"700060000610004980403029500801070054204608193096413078062300000050046009307001020","729865341615734982483129567831972654274658193596413278962387415158246739347591826"
"309000085400907360620035049100000497800004023040590610210300056983600170504100902","379461285458927361621835749135286497896714523742593618217349856983652174564178932"
"105000030900003060380671250408300000739004082000000005892700513040030028573010400","165429837927583164384671259458362971739154682216897345892746513641935728573218496"
"870591040600700900409002000300650000210000507007000094700210000040086701030074605","873591246621743958459862173394657812218439567567128394786215439945386721132974685"
"051327948034008006790654100087902000162500090340006500006035204470200389803400000","651327948234198756798654132587912463162543897349786521916835274475261389823479615"
"000068010031947280040105000000700630000580020050002470190800000075430860080209147","729368514531947286648125793812794635467583921953612478194876352275431869386259147"
"640300200107600090280000000073201058000783042812406907321549800060000409700860005","649375281137628594285914763473291658956783142812456937321549876568137429794862315"
"080050609030098507000070100197002050308041006640980070009530012010027008203810000","781253649436198527925476183197362854358741296642985371869534712514627938273819465"
"809060000040100900000097103000009600724613090605700000200040016400800039086000040","819362457347158962562497183138529674724613598695784321273945816451876239986231745"
"000409007860710030000000000003251760412306509000948002098500000020190800001027953","135489627869712435274635198983251764412376589756948312398564271527193846641827953"
"701402890008600004425900167014090302000803019009000040507280930102360470000004080","761452893938617524425938167814796352256843719379125648547281936182369475693574281"
"050134002600290050092600080069020507020000000810000290003982605000306008200710009","758134962631298754492657381369821547527469813814573296143982675975346128286715439"
"002546310106083592003091840007004068020367950500002073000000000075430000008070634","982546317146783592753291846317954268824367951569812473431629785675438129298175634"
"300000020600010090009070000067090005400005080080000900540080039000200714021003006","374569128652318497819472563267891345493725681185634972546187239938256714721943856"
"180450060050710008400096102000080210010009500805001007009075834300020600008304900","182453769956712348437896152694587213713249586825631497269175834341928675578364921"
"009008000108054309450269180006000901290800643007090500934082000061940002702613095","679138254128754369453269187846325971295871643317496528934582716561947832782613495"
"107204856400000000062138479015080742940070613203061598726300005050827900094615037","137294856489756321562138479615983742948572613273461598726349185351827964894615237"
"320000410600000509975100020000080047000600090000020305010460938090018064080903002","328597416641832579975146823259381647837654291164729385712465938593218764486973152"
"940607030000102900008403520460208009320001006000564000004000070753000000000720048","942657831537182964618493527461238759325971486879564213284319675753846192196725348"
"604930050007100908008005641075412006060309010109500480006804070543700869001000504","614938257257146938398275641875412396462389715139567482926854173543721869781693524"
"003008160200531800700490502071650200456870010002900706000340691145000007000000000","593728164264531879718496532971653248456872913382914756827345691145269387639187425"
"001037290700050604040019350400006000002000003006290785070000030000001000010060900","561437298793852614248619357457386129982175463136294785674928531329541876815763942"
"500173824048592107720086005062048510870250496100039002207000040019067250000004301","596173824348592167721486935962748513873251496154639782237815649419367258685924371"
"204000860768049100390050002002008593000917208009320006000000980915680300807090000","254731869768249135391856472172468593536917248489325716643572981915684327827193654"
"004356810105000060000000003500708000060000170719060430301040750950671300006002900","294356817135987264687124593543718629862493175719265438321849756958671342476532981"
"300400000002000800487200009009374126600009780720018094900157260200900400010842007","395481672162793845487265319859374126641529783723618594934157268278936451516842937"
"530740169400086007906030080802103700607020300015460008003690200784215690069374051","538742169421986537976531482892153746647829315315467928153698274784215693269374851"
"000540000048020000213007000104798650005306002076400100001204030487600010030001000","769543821548129367213867945124798653895316472376452198951284736487635219632971584"
"001702589005040132002031607050203008100070203024800010013487060870105324540320870","431762589765948132982531647657213498198674253324859716213487965876195324549326871"
"003000600000060501261009000405208000800000100016074852030090085050380204680527000","573142698948763521261859437495218376827635149316974852132496785759381264684527913"
"307104005106000302008000007964280010705300200032500906570010000401700000683050720","397124865146875392258963147964287513715396284832541976579612438421738659683459721"
"050091076140086052396500004008034060634050001700008043000010607260009405003005000","852491376147386952396527814518734269634952781729168543485213697261879435973645128"
